id,category,brand,model,title,description,price,discount,stock,rating,review_count,color,warranty,features,tags
370,کتاب,نشر چشمه,رمان ادبی SE,نشر چشمه رمان ادبی SE - متنوع,محصول نشر چشمه مدل رمان ادبی SE با ویژگی‌های تصویرسازی رنگی | نمایه جامع | ۳۵۰ صفحه. بهترین انتخاب در دسته کتاب.,425000,25,15,2.9,2764,متنوع,۳۶ ماه گارانتی,تصویرسازی رنگی | نمایه جامع | ۳۵۰ صفحه | ویرایش دوم,آموزش، علمی، کتاب، رمان
371,پوشاک مردانه,نایک,پیراهن کژوال ویژه,نایک پیراهن کژوال ویژه - خاکستری,نایک پیراهن کژوال ویژه - تنفس‌پذیر | رنگ‌ثابت | دوخت محکم. مناسب برای کاربران پوشاک مردانه.,2385000,0,100,3.6,178,خاکستری,۱۸ ماه گارانتی,تنفس‌پذیر | رنگ‌ثابت | دوخت محکم | جیب دار,رسمی، ورزشی، کژوال، مد
372,عطر,دیور,La Vie Est Belle Max,دیور La Vie Est Belle Max - شفاف,محصول دیور مدل La Vie Est Belle Max با ویژگی‌های ماندگاری ۱۲ ساعته | بوی مردانه خشبی | پخش مه ریز. بهترین انتخاب در دسته عطر.,6790000,15,15,3.4,908,شفاف,۱۲ ماه گارانتی,ماندگاری ۱۲ ساعته | بوی مردانه خشبی | پخش مه ریز | حجم ۱۰۰ میلی‌لیتر,زنانه، هدیه، لوکس، عطر
373,مودم,نت‌گیر,Nighthawk AX12 (2024),نت‌گیر Nighthawk AX12 (2024) - سفید,پیشنهاد ویژه: نت‌گیر Nighthawk AX12 (2024). پوشش ۳۰۰ متر مربع | MU-MIMO | Wi-Fi 6 AX5400. ارسال سریع.,11450000,10,5,4.5,1634,سفید,۱۸ ماه گارانتی,پوشش ۳۰۰ متر مربع | MU-MIMO | Wi-Fi 6 AX5400 | VPN داخلی,اینترنت، روتر، خانه هوشمند، شبکه
374,هندزفری,انکر,Soundcore P40i SE,انکر Soundcore P40i SE - بژ,محصول انکر مدل Soundcore P40i SE با ویژگی‌های صدای استریو | کیس شارژ | حذف نویز فعال. بهترین انتخاب در دسته هندزفری.,10720000,20,30,2.7,3464,بژ,۱۲ ماه گارانتی,صدای استریو | کیس شارژ | حذف نویز فعال | باتری ۶ ساعته,ایرپاد، بی‌سیم، TWS، مکالمه
375,لوازم آرایشی,ناکس,ریمل,ناکس ریمل - متنوع,ناکس ریمل - بدون پارابن | پوشش کامل | مناسب پوست حساس. مناسب برای کاربران لوازم آرایشی.,2860000,10,50,2.9,2822,متنوع,۳۶ ماه گارانتی,بدون پارابن | پوشش کامل | مناسب پوست حساس | تست شده توسط چشم‌پزشک,بهداشتی، آرایشی، ضدآب، زنانه
376,لپ‌تاپ,اپل,Pavilion x360 Max,اپل Pavilion x360 Max - مشکی,پیشنهاد ویژه: اپل Pavilion x360 Max. باتری ۱۰ ساعته | نمایشگر Full HD IPS | رم ۱۶ گیگ. ارسال سریع.,54435000,0,0,3.6,2311,مشکی,۱۲ ماه گارانتی,باتری ۱۰ ساعته | نمایشگر Full HD IPS | رم ۱۶ گیگ | SSD 512 گیگ,لپ‌تاپ، دانشجویی، کامپیوتر، گیمینگ
377,دسته بازی,ریزر,Wolverine V2 Lite,ریزر Wolverine V2 Lite - قرمز,Wolverine V2 Lite از برند معتبر ریزر. ماشه تطبیقی | باتری ۴۰ ساعته | نور RGB. کیفیت تضمینی.,3290000,25,20,3.5,3500,قرمز,۱۲ ماه گارانتی,ماشه تطبیقی | باتری ۴۰ ساعته | نور RGB | سازگار با PC,کنترلر، Xbox، گیمینگ، دسته بازی
378,موبایل,اپل,Nova 11 Ultra,اپل Nova 11 Ultra - طلایی,پیشنهاد ویژه: اپل Nova 11 Ultra. حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | پردازنده Snapdragon 8 Gen2. ارسال سریع.,20805000,20,50,3.0,402,طلایی,۳۶ ماه گارانتی,حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | پردازنده Snapdragon 8 Gen2 | ضدآب IP68,اندروید، هوشمند، دوربین عالی، iOS
379,دوچرخه,پرفورما,Rockhopper Ultra,پرفورما Rockhopper Ultra - مشکی,پرفورما Rockhopper Ultra - وزن ۱۴ کیلو | چرخ ۲۷.۵ اینچ | دنده ۲۱ سرعته. مناسب برای کاربران دوچرخه.,23255000,25,20,3.6,2216,مشکی,۲۴ ماه گارانتی,وزن ۱۴ کیلو | چرخ ۲۷.۵ اینچ | دنده ۲۱ سرعته | ترمز دیسک هیدرولیک,ورزش، شهری، MTB، کوهستان
380,مودم,دی‌لینک,Nighthawk AX12 Max,دی‌لینک Nighthawk AX12 Max - مشکی,محصول دی‌لینک مدل Nighthawk AX12 Max با ویژگی‌های VPN داخلی | QoS پیشرفته | Wi-Fi 6 AX5400. بهترین انتخاب در دسته مودم.,10665000,10,200,4.1,684,مشکی,۶ ماه گارانتی,VPN داخلی | QoS پیشرفته | Wi-Fi 6 AX5400 | پردازنده ۱.۸ گیگاهرتز,روتر، خانه هوشمند، شبکه، مودم
381,اسباب‌بازی,هاسبرو,Little People SE,هاسبرو Little People SE - رنگارنگ,Little People SE از برند معتبر هاسبرو. قابل شستشو | رنگ غیر سمی | بی‌خطر بدون BPA. کیفیت تضمینی.,2185000,25,50,3.2,200,رنگارنگ,۶ ماه گارانتی,قابل شستشو | رنگ غیر سمی | بی‌خطر بدون BPA | قطعات لاستیکی نرم,اسباب‌بازی، لگو، آموزشی، خلاقیت
382,سرخ‌کن,مولینکس,HD9270 (نسخه جدید),مولینکس HD9270 (نسخه جدید) - مشکی,HD9270 (نسخه جدید) از برند معتبر مولینکس. کم‌مصرف ۱۴۰۰ وات | دمای ۸۰-۲۰۰ درجه | فناوری Rapid Air. کیفیت تضمینی.,2335000,5,100,4.3,966,مشکی,۳۶ ماه گارانتی,کم‌مصرف ۱۴۰۰ وات | دمای ۸۰-۲۰۰ درجه | فناوری Rapid Air | ظرفیت ۴.۵ لیتر,هواپز، بدون روغن، سرخ‌کن، آشپزخانه
383,کفش,آدیداس,Colorado (نسخه جدید),آدیداس Colorado (نسخه جدید) - خاکستری,آدیداس Colorado (نسخه جدید) - پنجه پهن | سبک وزن ۳۰۰ گرم | رویه چرم طبیعی. مناسب برای کاربران کفش.,2455000,20,5,4.2,2213,خاکستری,۶ ماه گارانتی,پنجه پهن | سبک وزن ۳۰۰ گرم | رویه چرم طبیعی | سایزبندی ۳۶-۴۶,رسمی، کفش، اسپورت، ورزشی
384,لوازم خودرو,شل,پمپ باد Plus,شل پمپ باد Plus - نقره‌ای,پمپ باد Plus از برند معتبر شل. شتاب G-Sensor | شارژ سریع | GPS مکان‌یاب. کیفیت تضمینی.,370000,10,5,3.5,2423,نقره‌ای,۱۲ ماه گارانتی,شتاب G-Sensor | شارژ سریع | GPS مکان‌یاب | دوربین ۴K,ایمنی، لوازم ماشین، خودرو، دوربین
385,کفش,کاترپیلار,Walking Pro SE,کاترپیلار Walking Pro SE - آبی,پیشنهاد ویژه: کاترپیلار Walking Pro SE. سایزبندی ۳۶-۴۶ | سبک وزن ۳۰۰ گرم | زیره لاستیکی ضدلغزش. ارسال سریع.,5030000,20,50,3.4,766,آبی,بدون گارانتی,سایزبندی ۳۶-۴۶ | سبک وزن ۳۰۰ گرم | زیره لاستیکی ضدلغزش | تکنولوژی Air Cushion,کوهنوردی، کفش، رسمی، اسپورت
386,ماشین لباسشویی,بوش,AWM-714E Ultra,بوش AWM-714E Ultra - سفید,محصول بوش مدل AWM-714E Ultra با ویژگی‌های دور ۱۴۰۰ rpm | صرفه‌جویی در آب | ظرفیت ۹ کیلوگرم. بهترین انتخاب در دسته ماشین لباسشویی.,24360000,25,10,4.9,1379,سفید,۳۶ ماه گارانتی,دور ۱۴۰۰ rpm | صرفه‌جویی در آب | ظرفیت ۹ کیلوگرم | برنامه‌های متنوع,ماشین لباسشویی، تمام اتوماتیک، لوازم خانگی، اینورتر
387,ماشین لباسشویی,اتومات,F4WV912P2 Lite,اتومات F4WV912P2 Lite - نقره‌ای,پیشنهاد ویژه: اتومات F4WV912P2 Lite. ضدالرژی | شستشوی سریع ۱۵ دقیقه | تشخیص بار. ارسال سریع.,32265000,10,100,3.1,1916,نقره‌ای,۲۴ ماه گارانتی,ضدالرژی | شستشوی سریع ۱۵ دقیقه | تشخیص بار | دور ۱۴۰۰ rpm,تمام اتوماتیک، اینورتر، ماشین لباسشویی، لوازم خانگی
388,مانیتور,ایسر,ProArt PA279CV ویژه,ایسر ProArt PA279CV ویژه - نقره‌ای,پیشنهاد ویژه: ایسر ProArt PA279CV ویژه. پوشش رنگی sRGB 99% | پنل IPS | رزولوشن 4K UHD. ارسال سریع.,15445000,25,200,4.4,1562,نقره‌ای,۱۸ ماه گارانتی,پوشش رنگی sRGB 99% | پنل IPS | رزولوشن 4K UHD | USB-C Hub,4K، صفحه‌نمایش، مانیتور، گیمینگ
389,مودم,ایسوس,DIR-X3260 Pro,ایسوس DIR-X3260 Pro - مشکی,محصول ایسوس مدل DIR-X3260 Pro با ویژگی‌های پردازنده ۱.۸ گیگاهرتز | ۸ آنتن خارجی | QoS پیشرفته. بهترین انتخاب در دسته مودم.,7220000,0,10,2.7,2312,مشکی,۱۲ ماه گارانتی,پردازنده ۱.۸ گیگاهرتز | ۸ آنتن خارجی | QoS پیشرفته | پوشش ۳۰۰ متر مربع,شبکه، روتر، اینترنت، خانه هوشمند
390,تلویزیون,ال‌جی,Bravia X90L Pro,ال‌جی Bravia X90L Pro - مشکی,ال‌جی Bravia X90L Pro - اسمارت TV | Wi-Fi داخلی | نرخ تازه‌سازی ۱۲۰Hz. مناسب برای کاربران تلویزیون.,11300000,5,0,3.7,1573,مشکی,۱۸ ماه گارانتی,اسمارت TV | Wi-Fi داخلی | نرخ تازه‌سازی ۱۲۰Hz | کیفیت 4K OLED,TV، تلویزیون، اسمارت، OLED
391,پوشاک زنانه,بِرشکا,بلوز Lite,بِرشکا بلوز Lite - آبی,بِرشکا بلوز Lite - بدون ترنسپارنت | سایزبندی XS تا XXL | جنس ویسکوز نرم. مناسب برای کاربران پوشاک زنانه.,1945000,0,100,3.8,3277,آبی,بدون گارانتی,بدون ترنسپارنت | سایزبندی XS تا XXL | جنس ویسکوز نرم | قابل شستشو,رسمی، زنانه، تابستانه، کژوال
392,چای‌ساز,بوش,TWK7203 (2024),بوش TWK7203 (2024) - استیل,TWK7203 (2024) از برند معتبر بوش. صفحه لمسی | حرارت سریع | فیلتر قابل شستشو. کیفیت تضمینی.,3965000,0,150,3.0,3009,استیل,۳۶ ماه گارانتی,صفحه لمسی | حرارت سریع | فیلتر قابل شستشو | ظرفیت ۲ لیتر,چای‌ساز، آشپزخانه، خانگی، کتری برقی
393,اسباب‌بازی,فیشر پرایس,LEGO Technic Pro,فیشر پرایس LEGO Technic Pro - زرد,پیشنهاد ویژه: فیشر پرایس LEGO Technic Pro. مقاوم | رنگ غیر سمی | قابل شستشو. ارسال سریع.,2325000,10,10,3.0,325,زرد,۳۶ ماه گارانتی,مقاوم | رنگ غیر سمی | قابل شستشو | آموزشی,لگو، آموزشی، خلاقیت، اسباب‌بازی
394,عطر,آرمانی,Sauvage Lite,آرمانی Sauvage Lite - آبی,محصول آرمانی مدل Sauvage Lite با ویژگی‌های پخش مه ریز | ماندگاری ۱۲ ساعته | اسپری محافظت. بهترین انتخاب در دسته عطر.,4440000,5,30,4.9,833,آبی,۲۴ ماه گارانتی,پخش مه ریز | ماندگاری ۱۲ ساعته | اسپری محافظت | بوی مردانه خشبی,ادکلن، عطر، هدیه، لوکس
395,پرینتر,HP,LaserJet Pro M428fdw Pro,HP LaserJet Pro M428fdw Pro - مشکی,محصول HP مدل LaserJet Pro M428fdw Pro با ویژگی‌های اسکنر تخت | فکس | کارتریج با ظرفیت بالا. بهترین انتخاب در دسته پرینتر.,16960000,10,50,3.7,2788,مشکی,۶ ماه گارانتی,اسکنر تخت | فکس | کارتریج با ظرفیت بالا | سرعت ۲۸ صفحه در دقیقه,جوهرافشان، لیزر، چاپ، خانگی
396,هدفون,سامسونگ,ROG Delta Pro,سامسونگ ROG Delta Pro - قرمز,محصول سامسونگ مدل ROG Delta Pro با ویژگی‌های پد گوش راحت | باتری ۳۰ ساعته | حذف نویز فعال ANC. بهترین انتخاب در دسته هدفون.,15375000,20,15,4.6,411,قرمز,۳۶ ماه گارانتی,پد گوش راحت | باتری ۳۰ ساعته | حذف نویز فعال ANC | فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز,بازی، بی‌سیم، استودیو، هدفون
397,دسته بازی,سونی,Xbox Wireless Controller Pro,سونی Xbox Wireless Controller Pro - مشکی,Xbox Wireless Controller Pro از برند معتبر سونی. شارژ USB-C | اتصال بی‌سیم | لرزش هپتیک. کیفیت تضمینی.,5805000,0,50,4.5,41,مشکی,۱۲ ماه گارانتی,شارژ USB-C | اتصال بی‌سیم | لرزش هپتیک | ماشه تطبیقی,PS5، بی‌سیم، کنترلر، Xbox
398,هدفون,ایسوس,Studio Pro Ultra,ایسوس Studio Pro Ultra - آبی,ایسوس Studio Pro Ultra - باتری ۳۰ ساعته | تاشو | اتصال بلوتوث ۵.۳. مناسب برای کاربران هدفون.,3365000,0,50,2.7,3031,آبی,۲۴ ماه گارانتی,باتری ۳۰ ساعته | تاشو | اتصال بلوتوث ۵.۳ | حذف نویز فعال ANC,موزیک، بی‌سیم، هدفون، بازی
399,تلویزیون,سونی,Bravia X90L (2024),سونی Bravia X90L (2024) - مشکی,محصول سونی مدل Bravia X90L (2024) با ویژگی‌های کیفیت 4K OLED | نرخ تازه‌سازی ۱۲۰Hz | Google TV. بهترین انتخاب در دسته تلویزیون.,87215000,20,50,4.7,1967,مشکی,۱۲ ماه گارانتی,کیفیت 4K OLED | نرخ تازه‌سازی ۱۲۰Hz | Google TV | Wi-Fi داخلی,تلویزیون، 4K، اسمارت، سینمای خانگی
400,لپ‌تاپ,ایسوس,IdeaPad 5 Plus,ایسوس IdeaPad 5 Plus - نقره‌ای,ایسوس IdeaPad 5 Plus - رم ۱۶ گیگ | کارت گرافیک RTX 3050 | پورت Thunderbolt 4. مناسب برای کاربران لپ‌تاپ.,88460000,5,200,4.0,2541,نقره‌ای,۱۲ ماه گارانتی,رم ۱۶ گیگ | کارت گرافیک RTX 3050 | پورت Thunderbolt 4 | نمایشگر Full HD IPS,اداری، سبک، دانشجویی، گیمینگ
401,کنسول بازی,مایکروسافت,Xbox Series X Ultra,مایکروسافت Xbox Series X Ultra - قرمز,مایکروسافت Xbox Series X Ultra - نرخ فریم ۱۲۰fps | پشتیبانی از VR | عمق سه‌بعدی صدا. مناسب برای کاربران کنسول بازی.,11205000,0,100,3.9,112,قرمز,بدون گارانتی,نرخ فریم ۱۲۰fps | پشتیبانی از VR | عمق سه‌بعدی صدا | کنترلر DualSense,Nintendo، کنسول، بازی، گیمینگ
402,جاروبرقی,بوش,G10 Prime,بوش G10 Prime - آبی,پیشنهاد ویژه: بوش G10 Prime. وزن ۳ کیلو | تشخیص گرد و غبار لیزری | بدون کیسه. ارسال سریع.,3045000,0,20,4.1,55,آبی,۳۶ ماه گارانتی,وزن ۳ کیلو | تشخیص گرد و غبار لیزری | بدون کیسه | باتری ۶۰ دقیقه,نظافت، شارژی، بدون کیسه، لوازم خانگی
403,جاروبرقی,ایرووا,V15 Detect,ایرووا V15 Detect - مشکی,ایرووا V15 Detect - موتور دیجیتال ۷۵۰۰۰ rpm | تشخیص گرد و غبار لیزری | باتری ۶۰ دقیقه. مناسب برای کاربران جاروبرقی.,19865000,10,100,4.3,846,مشکی,۳۶ ماه گارانتی,موتور دیجیتال ۷۵۰۰۰ rpm | تشخیص گرد و غبار لیزری | باتری ۶۰ دقیقه | دسته قابل تنظیم,جاروبرقی، بدون کیسه، شارژی، نظافت
404,دوچرخه,ترک,Marlin 5 Ultra,ترک Marlin 5 Ultra - آبی,محصول ترک مدل Marlin 5 Ultra با ویژگی‌های فریم آلومینیوم | ترمز دیسک هیدرولیک | زین راحت. بهترین انتخاب در دسته دوچرخه.,5835000,20,0,2.6,348,آبی,۲۴ ماه گارانتی,فریم آلومینیوم | ترمز دیسک هیدرولیک | زین راحت | کیت سپر و گلگیر,MTB، کوهستان، دوچرخه، ورزش
405,ماشین لباسشویی,ال‌جی,SWD-84502,ال‌جی SWD-84502 - سفید,محصول ال‌جی مدل SWD-84502 با ویژگی‌های برنامه‌های متنوع | تشخیص بار | موتور اینورتر. بهترین انتخاب در دسته ماشین لباسشویی.,25060000,15,150,2.6,3201,سفید,۳۶ ماه گارانتی,برنامه‌های متنوع | تشخیص بار | موتور اینورتر | شستشوی سریع ۱۵ دقیقه,ماشین لباسشویی، لوازم خانگی، تمام اتوماتیک، اینورتر
406,کفش,پوما,Air Max 270 Plus,پوما Air Max 270 Plus - قرمز,پیشنهاد ویژه: پوما Air Max 270 Plus. کفی ارتوپدی | سایزبندی ۳۶-۴۶ | تکنولوژی Air Cushion. ارسال سریع.,2395000,20,10,3.0,3012,قرمز,۲۴ ماه گارانتی,کفی ارتوپدی | سایزبندی ۳۶-۴۶ | تکنولوژی Air Cushion | قابل شستشو,کفش، رسمی، کوهنوردی، ورزشی
407,اسباب‌بازی,اپیک,Little People SE,اپیک Little People SE - رنگارنگ,Little People SE از برند معتبر اپیک. قابل شستشو | قطعات لاستیکی نرم | صدا و نور. کیفیت تضمینی.,3080000,10,200,2.7,2067,رنگارنگ,۱۲ ماه گارانتی,قابل شستشو | قطعات لاستیکی نرم | صدا و نور | مقاوم,اسباب‌بازی، خلاقیت، لگو، آموزشی
408,ماشین لباسشویی,اتومات,WAV28EH0 SE,اتومات WAV28EH0 SE - سفید,پیشنهاد ویژه: اتومات WAV28EH0 SE. دور ۱۴۰۰ rpm | موتور اینورتر | تشخیص بار. ارسال سریع.,45210000,20,10,3.3,2936,سفید,۱۸ ماه گارانتی,دور ۱۴۰۰ rpm | موتور اینورتر | تشخیص بار | صرفه‌جویی در آب,ماشین لباسشویی، لوازم خانگی، اینورتر، تمام اتوماتیک
409,اسپیکر,سونی,Mi Portable,سونی Mi Portable - آبی,پیشنهاد ویژه: سونی Mi Portable. بیس قوی | صدای ۳۶۰ درجه | باتری ۲۴ ساعته. ارسال سریع.,12870000,20,50,3.3,770,آبی,بدون گارانتی,بیس قوی | صدای ۳۶۰ درجه | باتری ۲۴ ساعته | بلوتوث ۵.۳,بی‌سیم، پارتی، موزیک، سفر
410,پرینتر,Canon,PIXMA G6020 Ultra,Canon PIXMA G6020 Ultra - خاکستری,محصول Canon مدل PIXMA G6020 Ultra با ویژگی‌های اتصال Wi-Fi | فکس | چاپ دو رو خودکار. بهترین انتخاب در دسته پرینتر.,14275000,10,15,3.6,1079,خاکستری,۳۶ ماه گارانتی,اتصال Wi-Fi | فکس | چاپ دو رو خودکار | سرعت ۲۸ صفحه در دقیقه,خانگی، لیزر، اداری، جوهرافشان
411,تبلت,اپل,Tab P12 Pro,اپل Tab P12 Pro - نقره‌ای,اپل Tab P12 Pro - باتری ۱۰۰۰۰ میلی‌آمپر | کیفیت نمایش 2K | دوربین ۱۳ مگاپیکسل. مناسب برای کاربران تبلت.,20155000,0,150,4.4,2488,نقره‌ای,۶ ماه گارانتی,باتری ۱۰۰۰۰ میلی‌آمپر | کیفیت نمایش 2K | دوربین ۱۳ مگاپیکسل | پردازنده A16 Bionic,سرگرمی، iPad، آموزش، ترسیم دیجیتال
412,مکمل ورزشی,اپتیموم نوتریشن,پروتئین وی Pro,اپتیموم نوتریشن پروتئین وی Pro - متنوع,محصول اپتیموم نوتریشن مدل پروتئین وی Pro با ویژگی‌های ۳۰ وعده در هر بسته | مناسب گیاهخوار | بدون شکر افزوده. بهترین انتخاب در دسته مکمل ورزشی.,4550000,30,15,3.8,284,متنوع,۱۲ ماه گارانتی,۳۰ وعده در هر بسته | مناسب گیاهخوار | بدون شکر افزوده | انحلال سریع,کراتین، مکمل، ورزش، بدنسازی
413,مودم,ایسوس,RT-AX88U SE,ایسوس RT-AX88U SE - سفید,ایسوس RT-AX88U SE - پورت‌های Gigabit | Wi-Fi 6 AX5400 | QoS پیشرفته. مناسب برای کاربران مودم.,10690000,15,30,4.9,1293,سفید,۱۸ ماه گارانتی,پورت‌های Gigabit | Wi-Fi 6 AX5400 | QoS پیشرفته | پردازنده ۱.۸ گیگاهرتز,روتر، Wi-Fi، مودم، اینترنت
414,قهوه‌ساز,فیلیپس,EC685.M SE,فیلیپس EC685.M SE - نقره‌ای,فیلیپس EC685.M SE - تهیه دو فنجان همزمان | برنامه‌ریزی زمانی | فشار ۱۵ بار. مناسب برای کاربران قهوه‌ساز.,26105000,15,0,4.8,3435,نقره‌ای,۳۶ ماه گارانتی,تهیه دو فنجان همزمان | برنامه‌ریزی زمانی | فشار ۱۵ بار | کف‌ساز بخار,باریستا، قهوه‌ساز، اسپرسو، کافه
415,کیف,کالباندی,کیف جیبی,کالباندی کیف جیبی - قهوه‌ای,کیف جیبی از برند معتبر کالباندی. قفل TSA | چرم مصنوعی با کیفیت | فضای داخلی وسیع. کیفیت تضمینی.,1930000,20,200,2.9,2425,قهوه‌ای,۱۲ ماه گارانتی,قفل TSA | چرم مصنوعی با کیفیت | فضای داخلی وسیع | چرخ‌های ۳۶۰ درجه,کیف، دانشجویی، چرم، اداری
416,قهوه‌ساز,گاستروبک,42619 (نسخه جدید),گاستروبک 42619 (نسخه جدید) - نقره‌ای,42619 (نسخه جدید) از برند معتبر گاستروبک. آسیاب داخلی | فشار ۱۵ بار | ظرفیت مخزن ۱.۸ لیتر. کیفیت تضمینی.,23260000,0,10,3.8,2848,نقره‌ای,۳۶ ماه گارانتی,آسیاب داخلی | فشار ۱۵ بار | ظرفیت مخزن ۱.۸ لیتر | کف‌ساز بخار,کافه، قهوه‌ساز، اسپرسو، باریستا
417,لوازم خودرو,شل,آداپتور OBD2 Ultra,شل آداپتور OBD2 Ultra - مشکی,شل آداپتور OBD2 Ultra - شارژ سریع | Wi-Fi داخلی | GPS مکان‌یاب. مناسب برای کاربران لوازم خودرو.,2810000,25,50,2.9,483,مشکی,۲۴ ماه گارانتی,شارژ سریع | Wi-Fi داخلی | GPS مکان‌یاب | شتاب G-Sensor,خودرو، لوازم ماشین، GPS، ایمنی
418,کنسول بازی,نینتندو,Nintendo Switch OLED Max,نینتندو Nintendo Switch OLED Max - سفید,محصول نینتندو مدل Nintendo Switch OLED Max با ویژگی‌های عمق سه‌بعدی صدا | رزولوشن 4K | حافظه SSD سریع. بهترین انتخاب در دسته کنسول بازی.,27355000,30,150,2.9,3201,سفید,۲۴ ماه گارانتی,عمق سه‌بعدی صدا | رزولوشن 4K | حافظه SSD سریع | بازی آنلاین,PlayStation، بازی، Xbox، Nintendo
419,ابزارآلات,هیلتی,فرز زاویه‌ای SE,هیلتی فرز زاویه‌ای SE - مشکی,محصول هیلتی مدل فرز زاویه‌ای SE با ویژگی‌های گشتاور ۶۰ نیوتون‌متر | ۲ باتری پکیج | کنترل سرعت. بهترین انتخاب در دسته ابزارآلات.,7960000,0,15,4.4,3111,مشکی,۲۴ ماه گارانتی,گشتاور ۶۰ نیوتون‌متر | ۲ باتری پکیج | کنترل سرعت | تعویض سریع مته,DIY، برقی، ابزار، نجاری
420,دسته بازی,لاجیتک,F710 SE,لاجیتک F710 SE - قرمز,لاجیتک F710 SE - ماشه تطبیقی | لرزش هپتیک | دکمه‌های پشتی. مناسب برای کاربران دسته بازی.,7905000,0,10,4.7,832,قرمز,۱۲ ماه گارانتی,ماشه تطبیقی | لرزش هپتیک | دکمه‌های پشتی | شارژ USB-C,بی‌سیم، کنترلر، دسته بازی، Xbox
421,سرخ‌کن,تفال,DL-745 SE,تفال DL-745 SE - مشکی,پیشنهاد ویژه: تفال DL-745 SE. ظرفیت ۴.۵ لیتر | بدون روغن | کم‌مصرف ۱۴۰۰ وات. ارسال سریع.,2055000,30,5,2.9,2523,مشکی,۶ ماه گارانتی,ظرفیت ۴.۵ لیتر | بدون روغن | کم‌مصرف ۱۴۰۰ وات | سبد قابل شستشو در ماشین,سرخ‌کن، سالم، آشپزخانه، هواپز
422,تجهیزات کمپینگ,نورث فیس,کوله ۶۰ لیتری Plus,نورث فیس کوله ۶۰ لیتری Plus - خاکی,محصول نورث فیس مدل کوله ۶۰ لیتری Plus با ویژگی‌های پوشش UV | مقاوم در برابر باد ۶۰ کیلومتر | وزن ۲.۵ کیلو. بهترین انتخاب در دسته تجهیزات کمپینگ.,6390000,5,0,2.9,1077,خاکی,۱۲ ماه گارانتی,پوشش UV | مقاوم در برابر باد ۶۰ کیلومتر | وزن ۲.۵ کیلو | ستون آلومینیومی,کمپینگ، کوهنوردی، ماجراجویی، ورزش
423,قهوه‌ساز,برویل,42619 Max,برویل 42619 Max - مشکی,پیشنهاد ویژه: برویل 42619 Max. دماسنج دقیق | حرارت سریع ۴۰ ثانیه | کف‌ساز بخار. ارسال سریع.,8270000,10,200,3.9,2476,مشکی,۱۸ ماه گارانتی,دماسنج دقیق | حرارت سریع ۴۰ ثانیه | کف‌ساز بخار | فشار ۱۵ بار,اسپرسو، کافه، باریستا، قهوه‌ساز
424,مانیتور,بنکیو,UltraSharp U2722D Ultra,بنکیو UltraSharp U2722D Ultra - نقره‌ای,UltraSharp U2722D Ultra از برند معتبر بنکیو. USB-C Hub | پوشش رنگی sRGB 99% | نرخ تازه‌سازی ۱۴۴Hz. کیفیت تضمینی.,34435000,0,0,2.9,1707,نقره‌ای,بدون گارانتی,USB-C Hub | پوشش رنگی sRGB 99% | نرخ تازه‌سازی ۱۴۴Hz | پشتیبانی HDR400,طراحی، صفحه‌نمایش، گیمینگ، 4K
425,عطر,لانکوم,Boss Bottled (نسخه جدید),لانکوم Boss Bottled (نسخه جدید) - آبی,Boss Bottled (نسخه جدید) از برند معتبر لانکوم. اسپری محافظت | بوی تازه سیتروسی | جعبه هدیه. کیفیت تضمینی.,6770000,0,150,4.9,2768,آبی,۲۴ ماه گارانتی,اسپری محافظت | بوی تازه سیتروسی | جعبه هدیه | حجم ۱۰۰ میلی‌لیتر,عطر، لوکس، زنانه، ادکلن
426,کیف,سامسونیت,کیف دستی SE,سامسونیت کیف دستی SE - خاکستری,محصول سامسونیت مدل کیف دستی SE با ویژگی‌های چرخ‌های ۳۶۰ درجه | قفل TSA | چرم مصنوعی با کیفیت. بهترین انتخاب در دسته کیف.,5695000,5,0,4.0,1379,خاکستری,۱۲ ماه گارانتی,چرخ‌های ۳۶۰ درجه | قفل TSA | چرم مصنوعی با کیفیت | سبک وزن,کیف، مسافرت، دانشجویی، چرم
427,دوچرخه,اسپشیالایزد,City Pro Max,اسپشیالایزد City Pro Max - مشکی,اسپشیالایزد City Pro Max - چرخ ۲۷.۵ اینچ | زین راحت | وزن ۱۴ کیلو. مناسب برای کاربران دوچرخه.,29370000,10,20,2.7,3374,مشکی,۱۸ ماه گارانتی,چرخ ۲۷.۵ اینچ | زین راحت | وزن ۱۴ کیلو | ارتفاع قابل تنظیم,کوهستان، ورزش، دوچرخه، شهری
428,ابزارآلات,ماکیتا,پیچ‌گوشتی برقی Lite,ماکیتا پیچ‌گوشتی برقی Lite - آبی,ماکیتا پیچ‌گوشتی برقی Lite - گشتاور ۶۰ نیوتون‌متر | باتری ۱۸ ولت | ضدگرد و غبار. مناسب برای کاربران ابزارآلات.,5545000,0,50,4.2,3406,آبی,۱۸ ماه گارانتی,گشتاور ۶۰ نیوتون‌متر | باتری ۱۸ ولت | ضدگرد و غبار | LED روشنایی,ساختمان، DIY، برقی، ابزار
